,id,name,event_url,rsvp_limit,yes_rsvp_count,time,venue_id,venue_name,address,city,lat,lon,country,group_id,group_urlname
14,262870642,Introduction au HTML/CSS/REACT x Wild Code School,https://www.meetup.com/Wild-Code-School-Strasbourg/events/262870642/,60.0,7,1562775300000,25937296.0,Wild Code School - Strasbourg,32 rue du bassin d'Austerlitz,Strasbourg,48.58,7.75,fr,29705980,Wild-Code-School-Strasbourg
15,261862930,WWD Meetup Juli - WebRTC & Svelte,https://www.meetup.com/WintiWebDev-Talks/events/261862930/,,16,1562776200000,23742447.0,Technopark Winterthur,Technoparkstr. 2,Winterthur,47.494347,8.716522,ch,18532052,WintiWebDev-Talks
16,tflhdqyzkbnb,Scrum Club Dornbirn,https://www.meetup.com/Digitale-Initiativen/events/262265819/,,14,1562776200000,25249856.0,Digitale Initiativen - Mutterschiff,Widagasse 11,Dornbirn,47.41788,9.746881,at,21781853,Digitale-Initiativen
17,261318674,AWS UserGroup Ulm/Neu-Ulm,https://www.meetup.com/AWS-User-Group-Ulm-Neu-Ulm/events/261318674/,,8,1562776200000,26279395.0,Innovations ON GmbH,Lise-Meitner-Straße 9,Ulm,48.424526,9.940905,de,31274594,AWS-User-Group-Ulm-Neu-Ulm
18,256180856,Future of Mobility - Powered by Blockchain and Air-Mobility Infrastructure ,https://www.meetup.com/Disrupt-Meetup-Future-of-Mobility-Stuttgart/events/256180856/,,76,1562778000000,26395309.0,Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft,Flughafenstraße 61,Stuttgart,48.693237,9.195948,de,30472855,Disrupt-Meetup-Future-of-Mobility-Stuttgart
19,262573563,Future of Mobility - Powered by Blockchain and Air-Mobility Infrastructure,https://www.meetup.com/Disrupt-Meetup-Blockchain-and-Crypto-Assets-Stuttgart/events/262573563/,,3,1562778000000,26395309.0,Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft,Flughafenstraße 61,Stuttgart,48.693237,9.195948,de,30472862,Disrupt-Meetup-Blockchain-and-Crypto-Assets-Stuttgart
20,262139621,how to increase you agile competences *free of cost*,https://www.meetup.com/agile-Mindset-Zurich/events/262139621/,12.0,7,1562862600000,24761612.0,"Zentrum Karl der Grosse, Room: Turmblick",Kirchgasse 14,Zürich,47.369762,8.544621,ch,30490660,agile-Mindset-Zurich
21,262503037,Meetup of Test - miniConference,https://www.meetup.com/Meetup-of-Test/events/262503037/,,38,1562862600000,24037397.0,Ergon Informatik AG,Merkurstrasse 43,Zürich,47.36735,8.5544,ch,18519439,Meetup-of-Test
22,262733528,DataScience Stammtisch at Wilken,https://www.meetup.com/Ulmer-Data-Science-Stammtisch/events/262733528/,60.0,47,1562862600000,26486048.0,Wilken Software Group | IT-Software Unternehmen | ulmerflieger,Hörvelsinger Weg 29-31,Ulm,48.426624,9.991065,de,26798589,Ulmer-Data-Science-Stammtisch
23,kckcwqyzkbpb,GDG & WTM Stammtisch,https://www.meetup.com/GDG-Zurich/events/260905846/,15.0,6,1562864400000,764547.0,Nachtflug,Stüssihofstatt 4,Zürich,47.372641,8.543427,ch,11090922,GDG-Zurich
24,chdcwqyzkbpb,WTM & GDG Stammtisch,https://www.meetup.com/wtm-switzerland/events/261402445/,12.0,7,1562864400000,26315626.0,Nachtflug,Stüssihofstatt 4,Zürich,47.37261,8.543437,ch,26051944,wtm-switzerland
25,262668845,E-Health in Switzerland,https://www.meetup.com/Swiss-E-Health-Developers/events/262668845/,,7,1562864400000,26481929.0,Vulkanstrasse 120,Vulkanstrasse 120,Zürich,47.394405,8.481948,ch,31900316,Swiss-E-Health-Developers
26,qphmmqyzkbpb,Standing up to our Corporate Overlords - Gamespace Meetup!,https://www.meetup.com/Game-Developers-Zurich/events/262706983/,,10,1562864400000,24319729.0,Liip Arena,Limmatstrasse 183,Zürich,47.386196,8.529275,ch,7229552,Game-Developers-Zurich
27,262736739,LUG-BB-Stammtisch im Juli 2019,https://www.meetup.com/Linux-User-Group-Boblingen/events/262736739/,,4,1562864400000,26414605.0,Zimmerstraße 49,Zimmerstraße 49,Sindelfingen,48.711285,8.99594,de,22702982,Linux-User-Group-Boblingen
