,id,name,event_url,rsvp_limit,yes_rsvp_count,time,city,group_id,group_urlname
168,262312045,PWA with Angular,https://www.meetup.com/AngularZRH/events/262312045/,,5,1563985800000,,12710702,AngularZRH
169,qcddnqyzkbjc,Crypto Friday - Wine & Vision,https://www.meetup.com/CV-Labs-Switzerland/events/261813518/,90.0,3,1564153200000,Zug,27342970,CV-Labs-Switzerland
170,258199284,Hacky Summer - Monatliches Meetup Juli,https://www.meetup.com/Cybersecurity-Liechtenstein/events/258199284/,,4,1564214400000,Vaduz,21252257,Cybersecurity-Liechtenstein
171,262125679,Erfahrungsbericht Kanban in Scrum anwenden - Eine Erfolgsstory,https://www.meetup.com/Scrum-User-Group-Bern-Scrum-Alliance/events/262125679/,50.0,47,1564414200000,Bern,29547307,Scrum-User-Group-Bern-Scrum-Alliance
172,261482996,Presentation: Accessible Data Visualization by Luc Guillemot & Tania Boa,https://www.meetup.com/datavis-zurich/events/261482996/,30.0,22,1565103600000,Zürich,31838175,datavis-zurich
173,dftzplyzlbkb,UX Happy Hour,https://www.meetup.com/uxhappyhour/events/262238108/,,3,1565195400000,,11102042,uxhappyhour
174,259591897,React Zurich August Meetup,https://www.meetup.com/Zurich-ReactJS-Meetup/events/259591897/,50.0,28,1565197200000,Zürich,18405138,Zurich-ReactJS-Meetup
175,262122329,WebDev Meetup Chur,https://www.meetup.com/WebDev-Chur/events/262122329/,16.0,3,1565280000000,Chur,27837817,WebDev-Chur
176,sffhtqyzlbqb,BernR Meetup: ggplot and dplyr,https://www.meetup.com/Bern-R/events/261997432/,,4,1565627400000,Bern,30484518,Bern-R
177,bxdvrqyzlbsb,Python Meetup,https://www.meetup.com/Python-User-Group-Freiburg/events/262260027/,20.0,3,1565802000000,,9582982,Python-User-Group-Freiburg
178,259387148,Swiss Perl Workshop 2019,https://www.meetup.com/Swiss-Perl-Community-Meetup/events/259387148/,,7,1565938800000,Olten,14243062,Swiss-Perl-Community-Meetup
179,cdkrzqyzlbvb,ECSC2019 Team Training,https://www.meetup.com/Cybersecurity-Liechtenstein/events/261592426/,,3,1565974800000,Vaduz,21252257,Cybersecurity-Liechtenstein
180,258073541,August Meetup for the Azure Pro Workgroup,https://www.meetup.com/Azure-Professional-Workgroup/events/258073541/,,6,1566230400000,Zürich,29454575,Azure-Professional-Workgroup
181,259968214,Liberating Structures Bern Meetup - 2019/4,https://www.meetup.com/Liberating-Structures-User-Group-Schweiz/events/259968214/,24.0,9,1566320400000,Bern,24329787,Liberating-Structures-User-Group-Schweiz
182,259623474,(Vorläufig) Künstliche Intelligenz in Plattformen,https://www.meetup.com/Mobilitats-Meetup/events/259623474/,50.0,12,1566477900000,,27603198,Mobilitats-Meetup
183,258073827,October Azure and AI Basel User Group Meeting,https://www.meetup.com/Azure-Basel-User-Group/events/258073827/,,3,1566489600000,Basel,25953388,Azure-Basel-User-Group
184,262136631,Power BI Meetup - VR Integration mit der Microsoft Hololens,https://www.meetup.com/PBIUGSTU/events/262136631/,,12,1566491400000,Böblingen,29464985,PBIUGSTU
185,261543657,Conférence sur la sécurité,https://www.meetup.com/WordPress-Neuchatel/events/261543657/,50.0,3,1566493200000,Neuchâtel,31664334,WordPress-Neuchatel
186,261608814,CMCE 1908,https://www.meetup.com/CMCE-Configuration-Manager-Community-Event/events/261608814/,1.0,1,1566540000000,Zürich,19730494,CMCE-Configuration-Manager-Community-Event
187,258728061,The Second Play14 Basel. Play! Learn! Have fun!,https://www.meetup.com/Basel-Games-Meetup/events/258728061/,,5,1566576000000,Basel,27620448,Basel-Games-Meetup
188,261656335,Meetup #4: Voice Control in Products & Services,https://www.meetup.com/Zurich-Voice-Meetup/events/261656335/,100.0,6,1566837000000,Zürich,30538328,Zurich-Voice-Meetup
189,260088648,Introduction to Deep Learning,https://www.meetup.com/AI-for-Intelligent-Cloud-Zurich/events/260088648/,,37,1566921600000,Zürich,30507802,AI-for-Intelligent-Cloud-Zurich
190,260440930,Skalierte Agilität Teil 2 - Praxisbesuch bei der SBB,https://www.meetup.com/agile-and-beyond/events/260440930/,,22,1566972000000,Bern,25516239,agile-and-beyond
191,258556306,SharePoint & Office 365 Community Meetup 3/2019,https://www.meetup.com/SharePointCommunitySchweiz/events/258556306/,,4,1567090800000,,19797861,SharePointCommunitySchweiz
192,258755139,Lean Change Management Meetup,https://www.meetup.com/Zurich-Lean-Change-Management-Meetup/events/258755139/,25.0,4,1567094400000,,22191076,Zurich-Lean-Change-Management-Meetup
193,261286923,Cloud Native Computing Meetup | August 2019,https://www.meetup.com/Cloud-Native-Computing-Switzerland/events/261286923/,100.0,24,1567094400000,,23123972,Cloud-Native-Computing-Switzerland
194,gcdnlqyzlbmc,Blockchain meetup,https://www.meetup.com/Azure-Blockchain-Zurich/events/256172659/,80.0,5,1567096200000,Zürich,26357880,Azure-Blockchain-Zurich
195,262120650,[30-31.08+01.09.19] NUMERIK GAMES FESTIVAL (4th ed),https://www.meetup.com/Game-Developers-Suisse-Romande/events/262120650/,,3,1567177200000,Yverdon-Les-Bains,11103682,Game-Developers-Suisse-Romande
196,258199580,Sicher in den August - Monatliches Meetup August,https://www.meetup.com/Cybersecurity-Liechtenstein/events/258199580/,,3,1567184400000,Vaduz,21252257,Cybersecurity-Liechtenstein
197,swjrzqyzlbpc,ECSC2019 Team Training,https://www.meetup.com/Cybersecurity-Liechtenstein/events/261787782/,,3,1567238400000,Vaduz,21252257,Cybersecurity-Liechtenstein
198,261996839,WWD Meetup September,https://www.meetup.com/WintiWebDev-Talks/events/261996839/,,5,1567441800000,,18532052,WintiWebDev-Talks
199,262027939,Cloud Native,https://www.meetup.com/Microservices-Zurich/events/262027939/,50.0,20,1567614600000,Wallisellen / Zürich,19464889,Microservices-Zurich
